8-1,9-62,"5	6	4.0	8.0"
8-1,9-58,"2	3	6	7	9	11	0.0	5.0	8.0"
8-2,9-59,"1	4	5	7	9	0.0"
8-3,9-60,"3	7	9	4.0	6.0"
8-5,9-61,"4	6	7	10	11"
8-7,8-33,"1	2	4	5	6	7	11	13	15	17	8.0"
8-9,8-31,"0	2	3	4	5	6	7	10	11	12	13	14"
10-1,9-54,"3	7	10	11	12	4.0	8.0"
10-2,9-55,"1	3	5	6	7	9	4.0	8.0"
10-3,9-56,"0	4	8	9	3.0	3.1	6.0	6.1"
10-5,9-57,"1	2	3	4	5	6	7	8	9	11	10.0"
10-7,8-37,"0	1	3	5	7	8	9	10	13	2.0	4.0"
10-9,8-38,"0	1	2	3	5	6	7	8	9	4.0	4.1"
15-1,9-53,"1	2	4	7	10	13	0.0	6.0	8.0	8.1"
15-1,9-52,"3	7	10	12	14	1.1	6.0	9.0"
15-2,9-51,"3	8	12	13	2.0	4.0	6.0	10.0	10.1	11.0	11.1"
15-3,9-49,"1	2	3	7	8	12	13	14	15	16	18	22	20.0"
15-5,9-50,"1	2	3	8	9	10	13	15	18	19	20	21	22	4.0	11.0	6.0"
15-7,8-39,"2	3	7	8	9.0	9.1	10.0"
15-9,8-40,"1	2	5	6	8	3.0	10.0	4.0	4_1.0"
30-1,9-73,"4	5	6	8	10	0.0	3.0	9.0	11.0	12.0"
30-2,9-74,"1	3	0.0	2.0	7.0	5.0	6.0"
30-3,9-63,"1	2	4	5	7	6.0	6.1"
30-5,9-64,"2	3	4	5	8	6.0	0.0"
30-7,9-65,"0	1	3	4	6	7	8	10	11"
30-9,9-66,"0	1	2	4	5	7	3.0	8.0	9.0"
50-1,9-75,"7	10	11	1.0	3.0	9.0	9.1"
50-2,9-76,"3	5	13	14	0.0	7.0	8.0"
50-3,9-67,"1	2	3.0	4.0"
50-5,9-68,"2	3	4.0"
50-7,9-69,"1	2	4	0.0	3.0"
50-9,9-70,"2	0.0	0.1	1.0"
